dataset,backbone,phase,seed,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
ETTh1,dlinear,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTh1_dlinear_s0.npz,0.3576488706541107,0.3857676556717927,0.395573095536641,0.4036559040895814,0.3678238076853575,0.386766678781191,0.3598430023973031,9.587159822151614,4.431558720325047,2.7662529772816247,0.2583012353976399,0.6097469531364808
ETTh1,dlinear,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTh1_dlinear_s1.npz,0.3576488649314493,0.3862610439193477,0.3987785825318127,0.4061631936103853,0.3671277386366387,0.3864761976699719,0.359855581475947,10.313923415654411,4.900037719845384,2.5819007140103434,0.0556706342903723,0.613222819956516
ETTh1,dlinear,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTh1_dlinear_s2.npz,0.3591213812014803,0.3867401496934494,0.3941047590716729,0.4017776976604462,0.3662531900328019,0.3852371769485657,0.3609805499007249,8.876669734361286,3.7427532823649856,1.9472345976516705,-0.3901421863768739,0.5150329289918654
ETTh1,patchtst,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTh1_patchtst_s0.npz,0.3761294843249171,0.4067127676819944,0.4293842736337852,0.436788708184308,0.3661363202808822,0.3923589749574601,0.379254840119868,12.402594267876763,6.8856955179397055,-2.7293561142387013,-3.658331691301431,0.8240780246767887
ETTh1,patchtst,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTh1_patchtst_s1.npz,0.3842848154011281,0.4130775299490934,0.4555890611533524,0.4470102138935319,0.3665370002740851,0.3917846775505142,0.3886789629608472,15.651000393142269,7.591031007743476,-4.842025529147587,-5.434835413090866,1.130533931202693
ETTh1,patchtst,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTh1_patchtst_s2.npz,0.3885452366928505,0.4130751330611025,0.4620188900151995,0.4532386548664536,0.3685403551937885,0.3930480235587961,0.3920922186810818,15.902737942150337,8.861451108397912,-5.428138660294857,-5.095333980050043,0.9046295282682748
ETTh2,dlinear,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTh2_dlinear_s0.npz,0.1336094120080441,0.2426318664342988,0.1415501291321893,0.253184984206867,0.1346077292352089,0.2436125452125882,0.1338555571689263,5.609826831545705,4.168145202460205,0.7416492595461066,0.4025567638290428,0.1838886379379123
ETTh2,dlinear,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTh2_dlinear_s1.npz,0.1327333307536765,0.2411129888608711,0.1369262160584144,0.2464291188304606,0.1332372695120899,0.2418664029081026,0.1330918736910644,3.062149400921965,2.1572653405650843,0.3782265729842304,0.3115000835886006,0.26939506330802
ETTh2,dlinear,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTh2_dlinear_s2.npz,0.1345799786776162,0.2433336251775564,0.1444659210958572,0.2566657938040532,0.1345245295648855,0.2442428017157569,0.1346634645191887,6.843096519407821,5.194369077741213,-0.0412185888402971,0.3722429204929489,0.0619959109700474
ETTh2,patchtst,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTh2_patchtst_s0.npz,0.1443436629905083,0.2574588587239181,0.1845296180249207,0.2912083287698548,0.1385505546090412,0.2489799238011484,0.1454898919583634,21.77750946679207,11.589459061320095,-4.181223523654598,-3.40546932191268,0.7878409643627737
ETTh2,patchtst,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTh2_patchtst_s1.npz,0.1474495795026764,0.2628950038354141,0.1848113271942272,0.3006248746049979,0.1382128751741929,0.2502203718795147,0.1481150699050682,20.21615680097655,12.55048199825728,-6.682955055266926,-5.0653877063225,0.4493063418990917
ETTh2,patchtst,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTh2_patchtst_s2.npz,0.1445888885830405,0.2603604991827051,0.233567280715134,0.3575223553124813,0.1399525551700681,0.2536166014547896,0.1452944494966641,38.0954009738266,27.176442168170123,-3.312789400192395,-2.6590915930705394,0.4856076168551881
ETTm1,dlinear,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTm1_dlinear_s0.npz,0.2489995465406479,0.3283530003488132,0.2635142382218694,0.3388971904247032,0.2391991509471751,0.3192512239353516,0.2531944228532597,5.5081242589254735,3.1113241342237363,-4.097169891559149,-2.8509762002681294,1.6567806926154005
