dataset,backbone,phase,seed,candidate,mse,mae,static_mse,static_mae,state_bytes,mse_reduction_pct,mae_reduction_pct
ETTh1,dlinear,legacy,0,half32,0.3590437433438126,0.3841493047355054,0.3955730955366408,0.4036559040895817,4528,9.234539104150109,4.832482110740354
ETTh1,dlinear,legacy,1,half32,0.3589471273319409,0.3845167580750063,0.3987785825318127,0.4061631936103852,4528,9.98836370473688,5.329492153871385
ETTh1,dlinear,legacy,2,half32,0.3606056397700613,0.3849617954024783,0.394104759071673,0.4017776976604459,4528,8.500054498331867,4.185374737295444
ETTh1,dlinear,refit,0,half32,0.3592199099771217,0.3850022234204992,0.3998238508098546,0.4078866380694986,4528,10.155457397173395,5.610484020096818
ETTh1,dlinear,refit,1,half32,0.3614359276858057,0.3861087580070211,0.3996132241273529,0.4060846825409959,4528,9.553561828419488,4.919152431207041
ETTh1,dlinear,refit,2,half32,0.3576352239776171,0.3826915725782027,0.3893195080572351,0.3986060351106982,4528,8.138375659038378,3.992529247098797
ETTh1,patchtst,legacy,0,half32,0.3731063139151771,0.4027899539576047,0.4293842736337855,0.4367887081843084,4528,13.106665328550637,7.783798800118602
ETTh1,patchtst,legacy,1,half32,0.3806397436804588,0.4086202076223186,0.4555890611533522,0.4470102138935314,4528,16.4510792430254,8.58817205468968
ETTh1,patchtst,legacy,2,half32,0.3823467273312767,0.4075783355562096,0.4620188900151997,0.4532386548664535,4528,17.244351779924383,10.074233258788945
ETTh1,patchtst,refit,0,half32,0.3668765251708509,0.3991772497326341,0.4210708479325173,0.4299823023893913,4528,12.870594824544067,7.164260595279148
ETTh1,patchtst,refit,1,half32,0.3743442759843219,0.4044335696623927,0.4327461583775899,0.4335945723455897,4528,13.49564433159215,6.725407683368023
ETTh1,patchtst,refit,2,half32,0.3715912363362084,0.4032338398187713,0.4260292238720581,0.439314704035011,4528,12.777993735049066,8.212988066378092
ETTh2,dlinear,legacy,0,half32,0.1347433864847273,0.2436609147260356,0.1415501291321895,0.2531849842068671,4528,4.808715251051154,3.761703922002635
ETTh2,dlinear,legacy,1,half32,0.1336575522081054,0.242120467761972,0.1369262160584143,0.2464291188304605,4528,2.3871716785881514,1.7484342308803247
ETTh2,dlinear,legacy,2,half32,0.1353142950641711,0.2441215393555927,0.1444659210958572,0.2566657938040531,4528,6.334799212344178,4.887388483888532
ETTh2,dlinear,refit,0,half32,0.1369956520770641,0.2461832590175347,0.1574857800899883,0.2735780288993589,4528,13.01077976768189,10.013512412541681
ETTh2,dlinear,refit,1,half32,0.1340099948709451,0.2426779908840163,0.1410646462955558,0.2533221605139912,4528,5.001005999639297,4.201831220915642
ETTh2,dlinear,refit,2,half32,0.1355153505981246,0.2444807854230739,0.1505263982113731,0.2632415475578891,4528,9.972368828070655,7.126824131243781
ETTh2,patchtst,legacy,0,half32,0.1438978833038175,0.256906456395128,0.1845296180249207,0.291208328769855,4528,22.019085692582905,11.779152237721924
ETTh2,patchtst,legacy,1,half32,0.1465792187908226,0.2617043576683707,0.1848113271942272,0.3006248746049981,4528,20.687102345856,12.946539100520704
ETTh2,patchtst,legacy,2,half32,0.1428849336850797,0.2582124091921779,0.233567280715134,0.3575223553124811,4528,38.82493590386632,27.777268930079767
ETTh2,patchtst,refit,0,half32,0.141051624163028,0.2531999642026039,0.153924329869011,0.2659269570677061,4528,8.363009094753004,4.785897979444731
ETTh2,patchtst,refit,1,half32,0.1412073395523742,0.2549290816123402,0.1664075379820363,0.3015645126549745,4528,15.14366400420063,15.464495683545765
ETTh2,patchtst,refit,2,half32,0.1368806176644869,0.2466944657206512,0.1599854921813644,0.2673008961640645,4528,14.441856071977533,7.709076452465546
