dataset,backbone,seed,arm,mse,mae
bdg2,dlinear,1,mae_joint_adapter_global,0.235857422342561,0.320702271208888
bdg2,dlinear,1,sf_base,0.2439183786022345,0.328130304682239
bdg2,dlinear,1,sf_joint_boundary,0.21353697995639784,0.3057223991711259
bdg2,dlinear,1,sf_joint_adapter,0.2380860713092634,0.3192209626618756
bdg2,dlinear,1,sf_joint_adapter_global,0.23641143087783936,0.3230158965011113
bdg2,dlinear,2,mae_base,0.2405488423849137,0.3252011794642172
bdg2,dlinear,2,mae_joint_boundary,0.21243707141943377,0.30353809664777415
bdg2,dlinear,2,mae_joint_adapter,0.23552482299847421,0.31516146039838716
bdg2,dlinear,2,mae_joint_adapter_global,0.23329056396502376,0.3179056483125684
bdg2,dlinear,2,sf_base,0.24016718989231514,0.3251450164811841
bdg2,dlinear,2,sf_joint_boundary,0.2115871920909341,0.30288978062677757
bdg2,dlinear,2,sf_joint_adapter,0.23484523739883995,0.31432269186002665
bdg2,dlinear,2,sf_joint_adapter_global,0.23275433768872122,0.31735299309666276
bdg2,patchtst,0,mae_base,0.25664694942397803,0.3491457738307451
bdg2,patchtst,0,mae_joint_boundary,0.20941835813460324,0.3037421516609126
bdg2,patchtst,0,mae_joint_adapter,0.23961246144370693,0.33093919109323633
bdg2,patchtst,0,mae_joint_adapter_global,0.23986526675999562,0.33174849578439614
bdg2,patchtst,0,sf_base,0.25790326502426675,0.3519561499398075
bdg2,patchtst,0,sf_joint_boundary,0.2085680557000125,0.3026500623597441
bdg2,patchtst,0,sf_joint_adapter,0.241384005948513,0.3320865880703502
bdg2,patchtst,0,sf_joint_adapter_global,0.24173492088580723,0.33278548337500713
bdg2,patchtst,1,mae_base,0.27701813263871955,0.3705644038619241
bdg2,patchtst,1,mae_joint_boundary,0.2111130475246408,0.30756158615003376
bdg2,patchtst,1,mae_joint_adapter,0.2569864711121286,0.3496287391208308
bdg2,patchtst,1,mae_joint_adapter_global,0.2574264304118781,0.35084297794181285
bdg2,patchtst,1,sf_base,0.26732427237378764,0.35873344385877465
bdg2,patchtst,1,sf_joint_boundary,0.2122460222852702,0.30781737945350607
bdg2,patchtst,1,sf_joint_adapter,0.25229063000669066,0.3423895416354485
bdg2,patchtst,1,sf_joint_adapter_global,0.25261659637992984,0.34394961689724257
bdg2,patchtst,2,mae_base,0.26336121073870616,0.35576884370243084
bdg2,patchtst,2,mae_joint_boundary,0.20968677420099036,0.306289190468607
bdg2,patchtst,2,mae_joint_adapter,0.2572933484739834,0.35042862320919727
bdg2,patchtst,2,mae_joint_adapter_global,0.257508245061456,0.3506591657489554
bdg2,patchtst,2,sf_base,0.2690411543950044,0.36150706362785767
bdg2,patchtst,2,sf_joint_boundary,0.20970761675597324,0.3063718064890788
bdg2,patchtst,2,sf_joint_adapter,0.24756934404053832,0.3386672511168597
bdg2,patchtst,2,sf_joint_adapter_global,0.2479274662845976,0.33919153487183284
