method,n,mse_reduction_pct,mae_reduction_pct,bytes_median
Static,96,0.0,0.0,0.0
$\delta$-Adapter,96,6.698739692251038,5.119556008158434,22552608.0
COSA,96,11.734904291731452,7.562740277774968,111756.0
FAC,96,14.594869438318321,9.106902049964328,33312.0
OMPB,96,10.053594438505229,6.734595158051545,767216.0
ELF,96,19.29475514913722,12.744796867818929,474048.0
Proposed,96,15.403872646925656,9.350200708219974,6352.0
