dataset,backbone,seed,phase,arm,mse,mae,static_mse,static_mae,mse_reduction_pct,mae_reduction_pct,state_bytes,lr,parameter_bytes,optimizer_bytes,context_bytes,schedule_bytes,method,cohort
ETTh1,dlinear,0,refit,cosa_global,0.3934100989453348,0.4000495770659926,0.3998238508098548,0.4078866380694987,1.6041443879670323,1.9213821371051765,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,dlinear,0,refit,fac_global,0.3855929749955318,0.3967562712395774,0.3998238508098548,0.4078866380694987,3.559286367108394,2.728789274049448,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,dlinear,0,refit,proposed_global,0.3585637688165001,0.3870227304763065,0.3998238508098548,0.4078866380694987,10.319564955862726,5.115124067789967,4528,,,,,,Proposed,main
ETTh1,dlinear,0,refit,static,0.3998238508098548,0.4078866380694987,0.3998238508098548,0.4078866380694987,0.0,0.0,0,,,,,,Static,main
ETTh1,dlinear,1,refit,cosa_global,0.3964210169170455,0.4007483462383612,0.399613224127353,0.4060846825409959,0.7988242174113314,1.314094456664472,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,dlinear,1,refit,fac_global,0.3887458065627063,0.3973259470624113,0.399613224127353,0.4060846825409959,2.7194839681239813,2.156874133685238,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,dlinear,1,refit,proposed_global,0.3608421020360575,0.3880252266088111,0.399613224127353,0.4060846825409959,9.702161928189724,4.447214265552013,4528,,,,,,Proposed,main
ETTh1,dlinear,1,refit,static,0.399613224127353,0.4060846825409959,0.399613224127353,0.4060846825409959,0.0,0.0,0,,,,,,Static,main
ETTh1,dlinear,2,refit,cosa_global,0.3871401353479088,0.3946109684619541,0.3893195080572348,0.3986060351106976,0.5597902658927789,1.0022594483884315,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,dlinear,2,refit,fac_global,0.3790911386953938,0.3916211803855101,0.3893195080572348,0.3986060351106976,2.62724295858745,1.7523203639522755,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,dlinear,2,refit,proposed_global,0.3562006101043464,0.384175272350205,0.3893195080572348,0.3986060351106976,8.506868334997364,3.620307142736823,4528,,,,,,Proposed,main
ETTh1,dlinear,2,refit,static,0.3893195080572348,0.3986060351106976,0.3893195080572348,0.3986060351106976,0.0,0.0,0,,,,,,Static,main
ETTh1,patchtst,0,refit,cosa_global,0.4056864937917616,0.41772460080751,0.4210708479325172,0.4299823023893913,3.6536260385381047,2.85074560365991,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,patchtst,0,refit,fac_global,0.3906224237906042,0.4093420895697288,0.4210708479325172,0.4299823023893913,7.231187884750645,4.80024705783606,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,patchtst,0,refit,proposed_global,0.3682896468156083,0.4020124153276266,0.4210708479325172,0.4299823023893913,12.53499295333974,6.504892621472402,4528,,,,,,Proposed,main
ETTh1,patchtst,0,refit,static,0.4210708479325172,0.4299823023893913,0.4210708479325172,0.4299823023893913,0.0,0.0,0,,,,,,Static,main
ETTh1,patchtst,1,refit,cosa_global,0.4127459395592999,0.419512975267541,0.4327461583775901,0.43359457234559,4.621697600568664,3.247641454982386,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,patchtst,1,refit,fac_global,0.4013326994299072,0.4115520863217569,0.4327461583775901,0.43359457234559,7.259095971054985,5.08366281076611,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,patchtst,1,refit,proposed_global,0.3770845945630566,0.4075703876523563,0.4327461583775901,0.43359457234559,12.862405069802218,6.001962744241062,4528,,,,,,Proposed,main
ETTh1,patchtst,1,refit,static,0.4327461583775901,0.43359457234559,0.4327461583775901,0.43359457234559,0.0,0.0,0,,,,,,Static,main
ETTh1,patchtst,2,refit,cosa_global,0.4106154677843835,0.4211145620140443,0.4260292238720576,0.4393147040350108,3.618004405327613,4.142848362188234,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh1,patchtst,2,refit,fac_global,0.4010954371749851,0.4125644390418988,0.4260292238720576,0.4393147040350108,5.852600079979597,6.089089381123958,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh1,patchtst,2,refit,proposed_global,0.3733524877631349,0.4072944579371222,0.4260292238720576,0.4393147040350108,12.364582793208156,7.288680711979268,4528,,,,,,Proposed,main
ETTh1,patchtst,2,refit,static,0.4260292238720576,0.4393147040350108,0.4260292238720576,0.4393147040350108,0.0,0.0,0,,,,,,Static,main
ETTh2,dlinear,0,refit,cosa_global,0.1471398322722192,0.2601627514678482,0.1574857800899883,0.2735780288993586,6.569448880944906,4.903638455720261,71356,0.0001,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,dlinear,0,refit,fac_global,0.1543387370081858,0.2697087593481682,0.1574857800899883,0.2735780288993586,1.9983030086933584,1.414320282501147,21408,0.0001,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,dlinear,0,refit,proposed_global,0.1364696752856624,0.2452559243926229,0.1574857800899883,0.2735780288993586,13.344763439795717,10.352477726621334,4528,,,,,,Proposed,main
ETTh2,dlinear,0,refit,static,0.1574857800899883,0.2735780288993586,0.1574857800899883,0.2735780288993586,0.0,0.0,0,,,,,,Static,main
ETTh2,dlinear,1,refit,cosa_global,0.1355764859401828,0.2452177844092058,0.1410646462955559,0.2533221605139915,3.890528562255391,3.1992369275320565,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,dlinear,1,refit,fac_global,0.1362556369171881,0.2467324577313447,0.1410646462955559,0.2533221605139915,3.409081938427083,2.6013131931593603,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,dlinear,1,refit,proposed_global,0.1329272536126192,0.2415471596314914,0.1410646462955559,0.2533221605139915,5.768555691755206,4.648231666194757,4528,,,,,,Proposed,main
ETTh2,dlinear,1,refit,static,0.1410646462955559,0.2533221605139915,0.1410646462955559,0.2533221605139915,0.0,0.0,0,,,,,,Static,main
ETTh2,dlinear,2,refit,cosa_global,0.1411200834185214,0.2510297430090702,0.1505263982113729,0.2632415475578891,6.248946965198055,4.639011076370226,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,dlinear,2,refit,fac_global,0.1365451495489389,0.2477833062285236,0.1505263982113729,0.2632415475578891,9.28823703255105,5.8722650253247295,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,dlinear,2,refit,proposed_global,0.1343851508662235,0.2434446102896359,0.1505263982113729,0.2632415475578891,10.723200406671207,7.5204455572879025,4528,,,,,,Proposed,main
ETTh2,dlinear,2,refit,static,0.1505263982113729,0.2632415475578891,0.1505263982113729,0.2632415475578891,0.0,0.0,0,,,,,,Static,main
ETTh2,patchtst,0,refit,cosa_global,0.1463176400776359,0.2570048257663027,0.1539243298690109,0.2659269570677059,4.94183719873803,3.355106003462327,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,patchtst,0,refit,fac_global,0.1384850285278051,0.248220583303227,0.1539243298690109,0.2659269570677059,10.030448957838356,6.658359859309337,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,patchtst,0,refit,proposed_global,0.1404884250149456,0.2524564467539685,0.1539243298690109,0.2659269570677059,8.72890261435556,5.06549259325666,4528,,,,,,Proposed,main
ETTh2,patchtst,0,refit,static,0.1539243298690109,0.2659269570677059,0.1539243298690109,0.2659269570677059,0.0,0.0,0,,,,,,Static,main
ETTh2,patchtst,1,refit,cosa_global,0.1493898785264963,0.2684531080059784,0.1664075379820362,0.3015645126549745,10.226495543355163,10.979874374966492,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,patchtst,1,refit,fac_global,0.141136293715675,0.2563787934076333,0.1664075379820362,0.3015645126549745,15.186357885475864,14.983765446910846,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,patchtst,1,refit,proposed_global,0.1406610578944936,0.2536241420404355,0.1664075379820362,0.3015645126549745,15.471943398574906,15.897218871170193,4528,,,,,,Proposed,main
ETTh2,patchtst,1,refit,static,0.1664075379820362,0.3015645126549745,0.1664075379820362,0.3015645126549745,0.0,0.0,0,,,,,,Static,main
ETTh2,patchtst,2,refit,cosa_global,0.1466394352321569,0.2552639187488462,0.1599854921813644,0.2673008961640642,8.342041998456972,4.503156400878661,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,patchtst,2,refit,fac_global,0.1396842525771073,0.248895319885409,0.1599854921813644,0.2673008961640642,12.689425351920702,6.885714392576602,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,patchtst,2,refit,proposed_global,0.1356316596614607,0.2460192242518226,0.1599854921813644,0.2673008961640642,15.22252561019437,7.961691194323328,4528,,,,,,Proposed,main
ETTh2,patchtst,2,refit,static,0.1599854921813644,0.2673008961640642,0.1599854921813644,0.2673008961640642,0.0,0.0,0,,,,,,Static,main
ETTm1,dlinear,0,refit,cosa_global,0.2520044548033705,0.3273260696605535,0.2640003862547807,0.3391195211912549,4.543906780436736,3.4776681357869155,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,dlinear,0,refit,fac_global,0.2370852635194643,0.3184479342820482,0.2640003862547807,0.3391195211912549,10.195107331904108,6.095664099958576,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,dlinear,0,refit,proposed_global,0.2479582679330431,0.3280605525434759,0.2640003862547807,0.3391195211912549,6.076551079836545,3.261082879844601,4528,,,,,,Proposed,main
ETTm1,dlinear,0,refit,static,0.2640003862547807,0.3391195211912549,0.2640003862547807,0.3391195211912549,0.0,0.0,0,,,,,,Static,main
ETTm1,dlinear,1,refit,cosa_global,0.250848882487885,0.328136891977911,0.2714258901522036,0.3471124218506221,7.581077712512963,5.466681305020272,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,dlinear,1,refit,fac_global,0.2355730256654378,0.317921465640097,0.2714258901522036,0.3471124218506221,13.209080558476238,8.409654732289384,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,dlinear,1,refit,proposed_global,0.2528778484227444,0.3329891538814917,0.2714258901522036,0.3471124218506221,6.8335565627355095,4.068787827826082,4528,,,,,,Proposed,main
ETTm1,dlinear,1,refit,static,0.2714258901522036,0.3471124218506221,0.2714258901522036,0.3471124218506221,0.0,0.0,0,,,,,,Static,main
ETTm1,dlinear,2,refit,cosa_global,0.2436224373417068,0.3219034366648566,0.2553406141308771,0.3337978190333603,4.589233416335404,3.5633493361186264,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,dlinear,2,refit,fac_global,0.2334540083837317,0.3145234470625235,0.2553406141308771,0.3337978190333603,8.571533291577015,5.774265400131496,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,dlinear,2,refit,proposed_global,0.2380417551735924,0.318137641876286,0.2553406141308771,0.3337978190333603,6.774816852448707,4.691515721230399,4528,,,,,,Proposed,main
ETTm1,dlinear,2,refit,static,0.2553406141308771,0.3337978190333603,0.2553406141308771,0.3337978190333603,0.0,0.0,0,,,,,,Static,main
ETTm1,patchtst,0,refit,cosa_global,0.2619192306840319,0.3343182378729548,0.3202909894711341,0.359831511157885,18.22460222296165,7.090338809636831,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,patchtst,0,refit,fac_global,0.2699339772159758,0.3376546660809736,0.3202909894711341,0.359831511157885,15.722269408299006,6.163119234763403,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,patchtst,0,refit,proposed_global,0.2738698740656219,0.3438358185649789,0.3202909894711341,0.359831511157885,14.493419088112011,4.44532846537935,4528,,,,,,Proposed,main
ETTm1,patchtst,0,refit,static,0.3202909894711341,0.359831511157885,0.3202909894711341,0.359831511157885,0.0,0.0,0,,,,,,Static,main
ETTm1,patchtst,1,refit,cosa_global,0.2588808086042441,0.3371136876054547,0.3116047794356253,0.3632477510041613,16.92014189476625,7.19455614699932,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,patchtst,1,refit,fac_global,0.2532753873556967,0.3333132453450805,0.3116047794356253,0.3632477510041613,18.719029979441917,8.24079586902602,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,patchtst,1,refit,proposed_global,0.2687833656220108,0.3455428977468173,0.3116047794356253,0.3632477510041613,13.74221983731192,4.874043461632127,4528,,,,,,Proposed,main
ETTm1,patchtst,1,refit,static,0.3116047794356253,0.3632477510041613,0.3116047794356253,0.3632477510041613,0.0,0.0,0,,,,,,Static,main
ETTm1,patchtst,2,refit,cosa_global,0.2663928339121624,0.3306366972977322,0.2998470838676395,0.3471134999125111,11.15710365562359,4.746805473982397,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,patchtst,2,refit,fac_global,0.2520716449356336,0.3245797033773809,0.2998470838676395,0.3471134999125111,15.933267822973129,6.491766105556184,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,patchtst,2,refit,proposed_global,0.2639398912411019,0.3354681001519315,0.2998470838676395,0.3471134999125111,11.97516819686264,3.3549256262043525,4528,,,,,,Proposed,main
ETTm1,patchtst,2,refit,static,0.2998470838676395,0.3471134999125111,0.2998470838676395,0.3471134999125111,0.0,0.0,0,,,,,,Static,main
ETTm2,dlinear,0,refit,cosa_global,0.0971316130799497,0.206588879229561,0.1020296539490167,0.2151515579462906,4.8006051961271385,3.979835795038533,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,dlinear,0,refit,fac_global,0.0919358681125012,0.2015033545817889,0.1020296539490167,0.2151515579462906,9.892992327073124,6.3435298794855655,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,dlinear,0,refit,proposed_global,0.0893893697645368,0.1976403207803849,0.1020296539490167,0.2151515579462906,12.388833731413108,8.13902410610341,4528,,,,,,Proposed,main
ETTm2,dlinear,0,refit,static,0.1020296539490167,0.2151515579462906,0.1020296539490167,0.2151515579462906,0.0,0.0,0,,,,,,Static,main
ETTm2,dlinear,1,refit,cosa_global,0.0975169883155026,0.2071969809404222,0.1037356796600981,0.2172191392258056,5.994746807435702,4.613846791357101,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,dlinear,1,refit,fac_global,0.0920414544709048,0.2017169372606417,0.1037356796600981,0.2172191392258056,11.273098347175017,7.136664853942232,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,dlinear,1,refit,proposed_global,0.0900226286618111,0.1989936260780635,0.1037356796600981,0.2172191392258056,13.219223167206618,8.390380890330363,4528,,,,,,Proposed,main
ETTm2,dlinear,1,refit,static,0.1037356796600981,0.2172191392258056,0.1037356796600981,0.2172191392258056,0.0,0.0,0,,,,,,Static,main
ETTm2,dlinear,2,refit,cosa_global,0.0956602711079681,0.2049900383840774,0.1031248961800945,0.2162797652883893,7.238431599572593,5.219964470212057,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,dlinear,2,refit,fac_global,0.092363853324129,0.2018055758715383,0.1031248961800945,0.2162797652883893,10.4349611534859,6.692345628150176,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,dlinear,2,refit,proposed_global,0.0900704216937655,0.1995621796154277,0.1031248961800945,0.2162797652883893,12.65889709457847,7.729611529155411,4528,,,,,,Proposed,main
ETTm2,dlinear,2,refit,static,0.1031248961800945,0.2162797652883893,0.1031248961800945,0.2162797652883893,0.0,0.0,0,,,,,,Static,main
ETTm2,patchtst,0,refit,cosa_global,0.0934021266742349,0.2027897434196124,0.1284445097311802,0.2427223750192445,27.28211827059408,16.451977942481,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,patchtst,0,refit,fac_global,0.0941309792458624,0.2021866745835533,0.1284445097311802,0.2427223750192445,26.71467278526125,16.700438281587047,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,patchtst,0,refit,proposed_global,0.0885980855760418,0.197135540328033,0.1284445097311802,0.2427223750192445,31.02228677467991,18.78147191316707,4528,,,,,,Proposed,main
ETTm2,patchtst,0,refit,static,0.1284445097311802,0.2427223750192445,0.1284445097311802,0.2427223750192445,0.0,0.0,0,,,,,,Static,main
ETTm2,patchtst,1,refit,cosa_global,0.098210630636991,0.2092246495153715,0.1130723924280687,0.231368989480443,13.14358126855062,9.571006043116824,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,patchtst,1,refit,fac_global,0.0932763462576658,0.2025163748460502,0.1130723924280687,0.231368989480443,17.50740896633647,12.470389700531436,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,patchtst,1,refit,proposed_global,0.0913764982020784,0.2017103907428258,0.1130723924280687,0.231368989480443,19.18761402328354,12.818744121335335,4528,,,,,,Proposed,main
ETTm2,patchtst,1,refit,static,0.1130723924280687,0.231368989480443,0.1130723924280687,0.231368989480443,0.0,0.0,0,,,,,,Static,main
ETTm2,patchtst,2,refit,cosa_global,0.1000832238043571,0.2138956124590134,0.1116529630209008,0.2344577541349283,10.362232137429206,8.770083869387202,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,patchtst,2,refit,fac_global,0.0939762302798817,0.2050409422772542,0.1116529630209008,0.2344577541349283,15.831852789889778,12.546743001191164,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,patchtst,2,refit,proposed_global,0.093494632805136,0.2066646394123045,0.1116529630209008,0.2344577541349283,16.263187043558926,11.85421007941121,4528,,,,,,Proposed,main
ETTm2,patchtst,2,refit,static,0.1116529630209008,0.2344577541349283,0.1116529630209008,0.2344577541349283,0.0,0.0,0,,,,,,Static,main
appliances,dlinear,0,refit,cosa_global,0.2102048893918683,0.2735996138592685,0.2214710995625275,0.2776956907301931,5.086988863519137,1.475023562718636,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,dlinear,0,refit,fac_global,0.1848848005655638,0.2548182519259643,0.2214710995625275,0.2776956907301931,16.519671898154055,8.238312501023392,77952,0.01,25800.0,51624.0,0.0,0.0,FAC,main
appliances,dlinear,0,refit,proposed_global,0.1830580220428083,0.2482809414649274,0.2214710995625275,0.2776956907301931,17.344510229820763,10.592439943133591,13192,,,,,,Proposed,main
appliances,dlinear,0,refit,static,0.2214710995625275,0.2776956907301931,0.2214710995625275,0.2776956907301931,0.0,0.0,0,,,,,,Static,main
appliances,dlinear,1,refit,cosa_global,0.2120595320331126,0.2733439255747126,0.2216167536762605,0.2749426919619232,4.312499612330356,0.5814907738780684,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,dlinear,1,refit,fac_global,0.1855857149509792,0.2549772067819505,0.2216167536762605,0.2749426919619232,16.258264832231816,7.261689713410413,77952,0.01,25800.0,51624.0,0.0,0.0,FAC,main
appliances,dlinear,1,refit,proposed_global,0.1848631018632484,0.2492999116162048,0.2216167536762605,0.2749426919619232,16.584329119224485,9.3265909934677,13192,,,,,,Proposed,main
appliances,dlinear,1,refit,static,0.2216167536762605,0.2749426919619232,0.2216167536762605,0.2749426919619232,0.0,0.0,0,,,,,,Static,main
appliances,dlinear,2,refit,cosa_global,0.2166604000062913,0.2798936546142974,0.2279299018765532,0.2843024989562914,4.944284087993623,1.5507582093647998,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,dlinear,2,refit,fac_global,0.1856900320139034,0.2559237267469129,0.2279299018765532,0.2843024989562914,18.53195632292549,9.981893340213466,77952,0.01,25800.0,51624.0,0.0,0.0,FAC,main
appliances,dlinear,2,refit,proposed_global,0.1849035052727041,0.2496909144262369,0.2279299018765532,0.2843024989562914,18.877030284140677,12.174210447364253,13192,,,,,,Proposed,main
appliances,dlinear,2,refit,static,0.2279299018765532,0.2843024989562914,0.2279299018765532,0.2843024989562914,0.0,0.0,0,,,,,,Static,main
appliances,patchtst,0,refit,cosa_global,0.1976746371320231,0.2622579384527286,0.4695688419918777,0.3932843572278386,57.902948523266296,33.31594973638968,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,patchtst,0,refit,fac_global,0.1913781922947008,0.2624570642827293,0.4695688419918777,0.3932843572278386,59.24384772147827,33.26531822096296,77952,0.005,25800.0,51624.0,0.0,0.0,FAC,main
appliances,patchtst,0,refit,proposed_global,0.181925032296886,0.2510409232287898,0.4695688419918777,0.3932843572278386,61.257005144299406,36.168088403435775,13192,,,,,,Proposed,main
appliances,patchtst,0,refit,static,0.4695688419918777,0.3932843572278386,0.4695688419918777,0.3932843572278386,0.0,0.0,0,,,,,,Static,main
appliances,patchtst,1,refit,cosa_global,0.2011014917005137,0.2653322274043843,0.4304963504108328,0.3902387975236797,53.28613320215193,32.007727297211154,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,patchtst,1,refit,fac_global,0.1881932884551704,0.2585065160970825,0.4304963504108328,0.3902387975236797,56.284579816861815,33.75683870043795,77952,0.005,25800.0,51624.0,0.0,0.0,FAC,main
appliances,patchtst,1,refit,proposed_global,0.1827326881517679,0.2531295975525799,0.4304963504108328,0.3902387975236797,57.55302269638713,35.13469210164322,13192,,,,,,Proposed,main
appliances,patchtst,1,refit,static,0.4304963504108328,0.3902387975236797,0.4304963504108328,0.3902387975236797,0.0,0.0,0,,,,,,Static,main
appliances,patchtst,2,refit,cosa_global,0.1976266754391864,0.2644294954603621,0.4253650581247615,0.3816055212205237,53.53951349214452,30.70606142840566,263256,0.001,87464.0,175140.0,80.0,44.0,COSA,main
appliances,patchtst,2,refit,fac_global,0.1847717336275857,0.255200027833811,0.4253650581247615,0.3816055212205237,56.56160982235843,33.12465002666064,77952,0.005,25800.0,51624.0,0.0,0.0,FAC,main
appliances,patchtst,2,refit,proposed_global,0.177343721876267,0.2455476498400051,0.4253650581247615,0.3816055212205237,58.30787731881557,35.6540625893861,13192,,,,,,Proposed,main
appliances,patchtst,2,refit,static,0.4253650581247615,0.3816055212205237,0.4253650581247615,0.3816055212205237,0.0,0.0,0,,,,,,Static,main
bdg2,dlinear,0,refit,cosa_global,0.2019461901884429,0.284612474878961,0.2141913409078948,0.296055663599804,5.716921453289481,3.865215271244216,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,dlinear,0,refit,fac_global,0.199622540888277,0.2843695069530451,0.2141913409078948,0.296055663599804,6.801768903385597,3.947283596829232,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,dlinear,0,refit,proposed_global,0.1928634565097237,0.2786979679567469,0.2141913409078948,0.296055663599804,9.957398047824162,5.862983815949086,8176,,,,,,Proposed,main
bdg2,dlinear,0,refit,static,0.2141913409078948,0.296055663599804,0.2141913409078948,0.296055663599804,0.0,0.0,0,,,,,,Static,main
bdg2,dlinear,1,refit,cosa_global,0.202258689345621,0.2869966832636711,0.2189961129917393,0.3092129231080201,7.642794850313006,7.184770811337648,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,dlinear,1,refit,fac_global,0.1999927100253806,0.2863937321122293,0.2189961129917393,0.3092129231080201,8.677506968845371,7.379766267989773,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,dlinear,1,refit,proposed_global,0.1936807927963018,0.2823448037141445,0.2189961129917393,0.3092129231080201,11.559712110685904,8.689196791587362,8176,,,,,,Proposed,main
bdg2,dlinear,1,refit,static,0.2189961129917393,0.3092129231080201,0.2189961129917393,0.3092129231080201,0.0,0.0,0,,,,,,Static,main
bdg2,dlinear,2,refit,cosa_global,0.2009131717980848,0.2859078639508406,0.2202234593301698,0.3118603725438192,8.768497048779022,8.321835948981315,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,dlinear,2,refit,fac_global,0.1987220374529011,0.2854339273504699,0.2202234593301698,0.3118603725438192,9.763456601157404,8.47380671606045,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,dlinear,2,refit,proposed_global,0.1924315109224133,0.2814073170508537,0.2202234593301698,0.3118603725438192,12.61988549825177,9.764964764379158,8176,,,,,,Proposed,main
bdg2,dlinear,2,refit,static,0.2202234593301698,0.3118603725438192,0.2202234593301698,0.3118603725438192,0.0,0.0,0,,,,,,Static,main
bdg2,patchtst,0,refit,cosa_global,0.1865128194979969,0.2820220457105023,0.2006033697453123,0.3000128517088697,7.024084523208596,5.996678440904102,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,patchtst,0,refit,fac_global,0.1808715237322855,0.2777309828582361,0.2006033697453123,0.3000128517088697,9.836248532653558,7.426971452628206,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,patchtst,0,refit,proposed_global,0.1819472900404105,0.2800282363230282,0.2006033697453123,0.3000128517088697,9.29998320994696,6.661253100328657,8176,,,,,,Proposed,main
bdg2,patchtst,0,refit,static,0.2006033697453123,0.3000128517088697,0.2006033697453123,0.3000128517088697,0.0,0.0,0,,,,,,Static,main
bdg2,patchtst,1,refit,cosa_global,0.1878209154608748,0.2829615472203878,0.2115402672566757,0.319244193409723,11.21268877240319,11.365170279783122,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,patchtst,1,refit,fac_global,0.1861500993050519,0.2821520283871747,0.2115402672566757,0.319244193409723,12.00252239485746,11.61874382941198,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,patchtst,1,refit,proposed_global,0.1879603928581101,0.2875929222652045,0.2115402672566757,0.319244193409723,11.146754565623471,9.914439102701769,8176,,,,,,Proposed,main
bdg2,patchtst,1,refit,static,0.2115402672566757,0.319244193409723,0.2115402672566757,0.319244193409723,0.0,0.0,0,,,,,,Static,main
bdg2,patchtst,2,refit,cosa_global,0.1898129680101518,0.284721006992889,0.2042283493221908,0.3035693631887782,7.058462431822921,6.208912519333554,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,patchtst,2,refit,fac_global,0.1862092333946055,0.2826654912398702,0.2042283493221908,0.3035693631887782,8.823023829643894,6.886028197749539,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,patchtst,2,refit,proposed_global,0.1859157489609771,0.2840217131588963,0.2042283493221908,0.3035693631887782,8.966727891593395,6.439269702498263,8176,,,,,,Proposed,main
bdg2,patchtst,2,refit,static,0.2042283493221908,0.3035693631887782,0.2042283493221908,0.3035693631887782,0.0,0.0,0,,,,,,Static,main
bdg2_fox,dlinear,0,legacy,static,0.2372526588699503,0.3171059109380039,0.2372526588699503,0.3171059109380039,0.0,0.0,0,,,,,,Static,main
bdg2_fox,dlinear,0,legacy,proposed_global,0.2087642744310804,0.2987169197747036,0.2372526588699503,0.3171059109380039,12.007614403379884,5.799006114047312,8176,,,,,,Proposed,main
bdg2_fox,dlinear,0,refit,static,0.2351892860078212,0.3105632038170231,0.2351892860078212,0.3105632038170231,0.0,0.0,0,,,,,,Static,main
bdg2_fox,dlinear,0,refit,proposed_global,0.2092824496831106,0.2981701790019992,0.2351892860078212,0.3105632038170231,11.015313139667892,3.9905000536784585,8176,,,,,,Proposed,main
bdg2_fox,dlinear,1,legacy,static,0.2381683133851615,0.3188474879185776,0.2381683133851615,0.3188474879185776,0.0,0.0,0,,,,,,Static,main
bdg2_fox,dlinear,1,legacy,proposed_global,0.2096845266491115,0.3000555727237721,0.2381683133851615,0.3188474879185776,11.959519858540746,5.893700250699263,8176,,,,,,Proposed,main
bdg2_fox,dlinear,1,refit,static,0.2385137057040893,0.3185297449935427,0.2385137057040893,0.3185297449935427,0.0,0.0,0,,,,,,Static,main
