dataset,backbone,seed,phase,arm,mse,mae,static_mse,static_mae,mse_reduction_pct,mae_reduction_pct,state_bytes,lr,parameter_bytes,optimizer_bytes,context_bytes,schedule_bytes,method,cohort
ETTh2,dlinear,2,legacy,cosa_global,0.1403493791899672,0.2498515824783916,0.1444659210958572,0.2566657938040532,2.8494899521379624,2.654896558153641,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,dlinear,2,legacy,fac_global,0.1367067219052394,0.2465614577873319,0.1444659210958572,0.2566657938040532,5.370954708044495,3.936767680244624,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,dlinear,2,legacy,proposed_global,0.1345799786776162,0.2433336251775564,0.1444659210958572,0.2566657938040532,6.843096519407821,5.194369077741201,4528,,,,,,Proposed,main
ETTh2,dlinear,2,legacy,static,0.1444659210958572,0.2566657938040532,0.1444659210958572,0.2566657938040532,0.0,0.0,0,,,,,,Static,main
ETTh2,patchtst,0,legacy,cosa_global,0.1501648582403027,0.2606964405732878,0.1845296180249207,0.2912083287698548,18.62289650433082,10.477683906039958,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,patchtst,0,legacy,fac_global,0.1401235964092129,0.2513810191819405,0.1845296180249207,0.2912083287698548,24.06444130270228,13.6765695391186,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,patchtst,0,legacy,proposed_global,0.1443436629905083,0.257458858723918,0.1845296180249207,0.2912083287698548,21.77750946679209,11.589459061320117,4528,,,,,,Proposed,main
ETTh2,patchtst,0,legacy,static,0.1845296180249207,0.2912083287698548,0.1845296180249207,0.2912083287698548,0.0,0.0,0,,,,,,Static,main
ETTh2,patchtst,1,legacy,cosa_global,0.1526655562719441,0.2653855139310714,0.1848113271942272,0.3006248746049979,17.393831541775373,11.722037546037669,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
ETTh2,patchtst,1,legacy,fac_global,0.1418545369144397,0.2537004476903002,0.1848113271942272,0.3006248746049979,23.24359168453033,15.608963488584717,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,patchtst,1,legacy,proposed_global,0.1474495795026764,0.2628950038354141,0.1848113271942272,0.3006248746049979,20.21615680097656,12.55048199825728,4528,,,,,,Proposed,main
ETTh2,patchtst,1,legacy,static,0.1848113271942272,0.3006248746049979,0.1848113271942272,0.3006248746049979,0.0,0.0,0,,,,,,Static,main
ETTh2,patchtst,2,legacy,cosa_global,0.1552586547288287,0.2729940958791949,0.2335672807151339,0.3575223553124813,33.52722425270384,23.64278993390697,71356,0.01,23548.0,47156.0,80.0,44.0,COSA,main
