Group,Pool,Fixed,Prefix,Oracle
Main,13,18.803862393694388,19.521543820599636,19.76396294989799
Main,21,18.803862393694388,19.264822837201077,19.76396294989799
Sites,13,11.78026940699576,13.55082990797147,14.200522527915025
Sites,21,11.78026940699576,13.55082990797147,14.200522527915025
MAE joint,13,29.198902910463843,31.4858157412299,31.59732657665329
MAE joint,21,29.198902910463843,31.4858157412299,31.59732657665329
SF joint,13,31.66645644346758,34.035211445615474,34.14826726919954
SF joint,21,31.66645644346758,34.035211445615474,34.14826726919954
