Input construction,MSE (\%),MAE (\%),Bytes
"Complete $[z,a,r]$",16.991743162764315,10.35881470049821,4528
"No endpoint $[z,a]$",14.981490280079706,8.904948179968784,3352
Endpoint only $[r]$,12.851275021229863,8.30678820724668,2288
"No residual DCT $[a,r]$",15.141341826162865,9.097422543619558,3184
"No forecast $[z,r]$",14.851539933554152,9.646942464610415,3408
Endpoint persistence,5.531240311444652,3.1442527225530545,584
