Control,MAE warmup MSE (%),MAE warmup MAE (%),MAE + SF warmup MSE (%),MAE + SF warmup MAE (%)
First residual,4.69856967296246,2.929891887445644,5.428346577164324,3.3774246870736646
Middle residual,4.831534769765079,2.953009426736473,5.489058792130538,3.3376699461958617
Block mean,6.00411007358091,3.6067446010007838,6.935511015841423,4.14491169638081
