Input construction,MSE (\%),MAE (\%),Bytes
"Complete $[z,a,r]$",15.403872646925661,9.35020070821997,6352
"No endpoint $[z,a]$",13.368993389558197,7.898256645976031,4504
"Projected endpoint $[z,a,\tilde r]$",14.976908433005072,9.040564747204613,6264
Endpoint only $[r]$,11.34467243878045,7.558256703094027,2832
"No residual DCT $[a,r]$",13.869088067901421,8.325076060052096,4240
"No forecast $[z,r]$",13.024387584111606,8.615410598269122,4592
Endpoint persistence,4.1663676014408955,2.3755700046573045,616
