Interval,Pool,Fixed,Prefix,Oracle
Later half,13,17.19827871712459,18.18323673272619,18.48183223879781
Later half,21,17.19827871712459,17.990695995177273,18.48183223879781
Q2,13,14.003584915421863,14.62567027316762,15.165297869980156
Q2,21,14.003584915421863,14.319164868229771,15.165763879281803
Q3,13,16.12080965242659,17.148932854448592,17.662336102791553
Q3,21,16.12080965242659,16.91584212478773,17.662336102791553
Q4,13,17.449196386984262,18.481833465938863,18.73581833277431
Q4,21,17.449196386984262,18.481833465938863,18.74311107100107
