Base / training,Equal-state control,MSE gain (\%),MAE gain (\%),Bytes
Frozen base (96),First residual,2.1994748343869843,1.4647097002860903,6352
Frozen base (96),Middle residual,1.6461543304670017,1.105599012091779,6352
Frozen base (96),Block mean,1.961820362187434,1.3850317421662606,6352
Joint MAE (12 pairs),First residual,4.69856967296246,2.929891887445644,4528
Joint MAE (12 pairs),Middle residual,4.831534769765079,2.953009426736473,4528
Joint MAE (12 pairs),Block mean,6.00411007358091,3.6067446010007838,4528
Joint MAE+SF (12 pairs),First residual,5.428346577164324,3.3774246870736646,4528
Joint MAE+SF (12 pairs),Middle residual,5.489058792130538,3.3376699461958617,4528
Joint MAE+SF (12 pairs),Block mean,6.935511015841423,4.14491169638081,4528
