cohort,subset,policy,control,pairs,mse_reduction,mae_reduction,mse_wins,mae_wins
main,all,raw,static,72,15.455748819148377,9.622956143842794,72,72
main,all,raw,endpoint_only,72,4.080272410030323,1.7381261928544778,72,71
main,all,raw,no_residual_dct,72,1.6589927216196898,1.20954615496528,63,72
main,all,raw,no_endpoint,72,1.5338191473413236,1.4249289731846024,47,65
main,all,raw,no_forecast,72,2.360445260762667,0.4596118987902963,72,46
main,all,raw,first,72,1.8205939140679124,1.521047856987695,62,66
main,all,raw,middle,72,1.7764004968350127,1.1931926196187024,63,72
main,all,raw,mean,72,1.8141795227336202,1.5029849357973886,62,70
main,all,raw,persistence,72,57.12591399896408,38.06318359001609,72,72
main,all,global,static,72,16.991743162764315,10.35881470049821,72,72
main,all,global,endpoint_only,72,4.706628242313948,2.25522938831861,72,72
main,all,global,no_residual_dct,72,2.172943032679297,1.4023014388215052,67,72
main,all,global,no_endpoint,72,2.3784027807200534,1.5896450887842388,72,72
main,all,global,no_forecast,72,2.4527984753175454,0.7815257705247599,72,66
main,all,global,first,72,2.2377682206896097,1.467460037284732,70,71
main,all,global,middle,72,1.6574673269787565,1.1014080444539645,71,72
main,all,global,mean,72,2.288099407030382,1.5492511243318408,72,72
main,all,global,persistence,72,12.570451661609901,7.614818551618618,72,72
main,without_rat,raw,static,60,16.737972544203217,9.859332700347059,60,60
main,without_rat,raw,endpoint_only,60,4.145461468331157,1.8070032472316122,60,60
main,without_rat,raw,no_residual_dct,60,1.838468888150315,1.30818513591259,51,60
main,without_rat,raw,no_endpoint,60,2.0291880606708106,1.60252773056455,45,54
main,without_rat,raw,no_forecast,60,2.324219387403912,0.4542828130798148,60,37
main,without_rat,raw,first,60,2.1354090041868674,1.611015065614006,54,54
main,without_rat,raw,middle,60,2.210812613461109,1.2984360853998305,60,60
main,without_rat,raw,mean,60,2.317163723491157,1.6862912001660675,60,59
main,without_rat,raw,persistence,60,54.59222960812358,35.87744509832531,60,60
main,without_rat,global,static,60,17.988718032534628,10.640387960271646,60,60
main,without_rat,global,endpoint_only,60,4.664612562984349,2.2832212528391334,60,60
main,without_rat,global,no_residual_dct,60,2.297118247986822,1.4941921577306396,55,60
main,without_rat,global,no_endpoint,60,2.6511773638412697,1.7687622968394734,60,60
main,without_rat,global,no_forecast,60,2.3515584555386284,0.7400338954542083,60,54
main,without_rat,global,first,60,2.4244320393435923,1.580194363476312,58,59
main,without_rat,global,middle,60,1.849899875074722,1.2196825385018701,59,60
main,without_rat,global,mean,60,2.615545261809525,1.7403527251769193,60,60
main,without_rat,global,persistence,60,12.723986445957122,7.399836532122134,60,60
mae,all,raw,static,12,27.62875298241087,17.095644146072598,12,12
mae,all,raw,endpoint_only,12,6.190807908187999,2.6539233707836933,12,11
mae,all,raw,no_residual_dct,12,2.7427183026596826,1.7151278874160774,10,12
mae,all,raw,no_endpoint,12,6.399475367574446,3.9091349406160667,12,12
mae,all,raw,no_forecast,12,2.679458055481111,0.6386648624577208,12,12
mae,all,raw,first,12,4.720530500187229,3.0084333555173663,12,12
mae,all,raw,middle,12,4.945461862524318,2.95660643575065,12,12
mae,all,raw,mean,12,5.856652600192647,3.574091086406536,12,12
mae,all,raw,persistence,12,52.45504431454745,33.601954600651716,12,12
mae,all,global,static,12,28.30326351505801,17.404450978297966,12,12
mae,all,global,endpoint_only,12,6.5268032677617,2.937444950411932,12,12
mae,all,global,no_residual_dct,12,3.034682873854932,1.7780249908003372,11,12
mae,all,global,no_endpoint,12,6.79661187987534,4.03680044552165,12,12
mae,all,global,no_forecast,12,2.806850869366286,0.849995011058835,12,12
mae,all,global,first,12,4.698569672962476,2.9298918874456508,12,12
mae,all,global,middle,12,4.831534769765089,2.9530094267364686,12,12
mae,all,global,mean,12,6.004110073580899,3.6067446010007846,12,12
mae,all,global,persistence,12,19.21785758669574,11.101858718175833,12,12
mae,without_rat,raw,static,10,28.446679805815005,16.97173041269229,10,10
mae,without_rat,raw,endpoint_only,10,6.293393122041772,3.0146930350742194,10,10
mae,without_rat,raw,no_residual_dct,10,2.986059143080513,1.9085643463776916,8,10
mae,without_rat,raw,no_endpoint,10,6.127548603533045,3.8577531585195444,10,10
mae,without_rat,raw,no_forecast,10,2.3692959461885374,0.668107973648222,10,10
mae,without_rat,raw,first,10,4.767012758731604,3.069168586065716,10,10
mae,without_rat,raw,middle,10,4.5072029873321835,2.8495743910617835,10,10
mae,without_rat,raw,mean,10,5.878574361342318,3.6278929178367902,10,10
mae,without_rat,raw,persistence,10,49.69375110012219,31.271703809548807,10,10
mae,without_rat,global,static,10,29.11746381259649,17.329928683336977,10,10
mae,without_rat,global,endpoint_only,10,6.654443473489093,3.2585549924938606,10,10
mae,without_rat,global,no_residual_dct,10,3.288888038900166,1.9598258583521186,9,10
mae,without_rat,global,no_endpoint,10,6.62055373688367,3.9361661806135304,10,10
mae,without_rat,global,no_forecast,10,2.5183136211505763,0.8713778503427061,10,10
mae,without_rat,global,first,10,4.865346833163755,2.9695725411291884,10,10
mae,without_rat,global,middle,10,4.506699298481509,2.792123549510717,10,10
mae,without_rat,global,mean,10,6.169616229796583,3.626382429240136,10,10
mae,without_rat,global,persistence,10,19.0196485148283,10.345315761255385,10,10
sf,all,raw,static,12,30.250684681626083,18.84508044502397,12,12
sf,all,raw,endpoint_only,12,6.320739269541254,2.7343758111745333,12,11
sf,all,raw,no_residual_dct,12,2.8921358658578833,1.757645041626854,10,12
sf,all,raw,no_endpoint,12,7.40877660621453,4.46881183489556,12,12
sf,all,raw,no_forecast,12,2.5261011178187984,0.6028792816465068,12,12
sf,all,raw,first,12,5.502864547837714,3.4661977087521554,12,12
sf,all,raw,middle,12,5.695751310700925,3.3515969900996327,12,12
sf,all,raw,mean,12,6.836348946818418,4.12434391784922,12,12
sf,all,raw,persistence,12,50.983663148179694,32.52637915306621,12,12
sf,all,global,static,12,30.85395716611026,19.085485508018266,12,12
sf,all,global,endpoint_only,12,6.642457418634407,2.9888452281438442,12,12
sf,all,global,no_residual_dct,12,3.157034742168042,1.8163099530442084,11,12
sf,all,global,no_endpoint,12,7.753314970834093,4.58482978775889,12,12
sf,all,global,no_forecast,12,2.6592626361819725,0.7964536393737981,12,12
sf,all,global,first,12,5.428346577164334,3.3774246870736486,12,12
sf,all,global,middle,12,5.489058792130538,3.3376699461958403,12,12
sf,all,global,mean,12,6.9355110158414215,4.144911696380812,12,12
sf,all,global,persistence,12,19.624207965569344,11.374454673984827,12,12
sf,without_rat,raw,static,10,31.555982930670872,19.03040294028027,10,10
sf,without_rat,raw,endpoint_only,10,6.466031834786563,3.1270168728180314,10,10
sf,without_rat,raw,no_residual_dct,10,3.179366489211408,1.97029238070662,8,10
sf,without_rat,raw,no_endpoint,10,7.274901114032571,4.4970123364238574,10,10
sf,without_rat,raw,no_forecast,10,2.1970413309764227,0.6263841270965542,10,10
sf,without_rat,raw,first,10,5.676476056799093,3.6138687971221217,10,10
sf,without_rat,raw,middle,10,5.298869240347842,3.265743977914603,10,10
sf,without_rat,raw,mean,10,7.003013576130728,4.253115746177488,10,10
sf,without_rat,raw,persistence,10,48.01170180166863,30.042452217777235,10,10
sf,without_rat,global,static,10,32.14228057913182,19.31291605450893,10,10
sf,without_rat,global,endpoint_only,10,6.8082538188041655,3.336443129173156,10,10
sf,without_rat,global,no_residual_dct,10,3.448062289346898,2.0171040249587344,9,10
sf,without_rat,global,no_endpoint,10,7.706912240036823,4.558778120291697,10,10
sf,without_rat,global,no_forecast,10,2.3491280769320992,0.8122039884811361,10,10
sf,without_rat,global,first,10,5.722048413455002,3.4954921734503914,10,10
sf,without_rat,global,middle,10,5.1929968724563835,3.193865952668817,10,10
sf,without_rat,global,mean,10,7.239570481804525,4.236401353822184,10,10
sf,without_rat,global,persistence,10,19.56967865881298,10.711679681488743,10,10
